"Source:","C:\Users\GUI013\Documents\DRIVE\Drive\Workspaces\1-ws-KiCad\1-Projects\Comutador-com-LDR-master\Comutador-com-LDR-master\LDR_pai.kicad_sch"
"Date:","29/08/2022 20:51:51"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","18"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10nF","C","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","Unpolarized capacitor",""
"C2, C4, ","2","1000uF","C","Capacitor_THT:C_Radial_D8.0mm_H7.0mm_P3.50mm","Unpolarized capacitor",""
"C3, ","1","1uF","C","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","Unpolarized capacitor",""
"D1, ","1","1N4007","D","Diode_THT:D_5W_P12.70mm_Horizontal","Diode",""
"D2, ","1","GREEN","LED","LED_THT:LED_D5.0mm_FlatTop","Light emitting diode",""
"D3, ","1","RED","LED","LED_THT:LED_D5.0mm_FlatTop","Light emitting diode",""
"J1, ","1","Screw_Terminal_01x04","Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"JP1, ","1","Jumper_2_Open","Jumper_2_Open","TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm","Jumper, 2-pole, open",""
"K1, ","1","FINDER-36.11","FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","FINDER 36.11, SPDT relay, 10A",""
"R1, ","1","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, ","1","LDR07","LDR07","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","light dependent resistor",""
"R3, ","1","5k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R4, R5, ","2","500R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"RV1, ","1","50k","R_Potentiometer_Trim","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Trim-potentiometer",""
"RV2, ","1","200k","R_Potentiometer_Trim","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Trim-potentiometer",""
"U1, ","1","LM555xN","LM555xN","Package_DIP:DIP-8_W7.62mm","Timer, 555 compatible, PDIP-8",""
